"NAME","zipcodetabulationarea","B19013_001"
"ZCTA5 10303","10303",54956
"ZCTA5 10302","10302",56518
"ZCTA5 10312","10312",86415
"ZCTA5 10301","10301",53943
"ZCTA5 10306","10306",77767
"ZCTA5 10309","10309",82905
"ZCTA5 10310","10310",63808
"ZCTA5 10314","10314",78803
"ZCTA5 10308","10308",88342
"ZCTA5 10307","10307",87121
"ZCTA5 10311","10311",NA
"ZCTA5 10304","10304",53847
"ZCTA5 10305","10305",63401
"ZCTA5 10454","10454",19840
"ZCTA5 11370","11370",57334
"ZCTA5 10463","10463",52505
"ZCTA5 10464","10464",67273
"ZCTA5 10457","10457",24537
"ZCTA5 10469","10469",56352
"ZCTA5 10472","10472",30413
"ZCTA5 10473","10473",39818
"ZCTA5 10461","10461",51147
"ZCTA5 10471","10471",72431
"ZCTA5 10462","10462",45025
"ZCTA5 10468","10468",31707
"ZCTA5 10474","10474",22403
"ZCTA5 10475","10475",47767
"ZCTA5 10455","10455",23830
"ZCTA5 10456","10456",22549
"ZCTA5 10466","10466",45737
"ZCTA5 10470","10470",52510
"ZCTA5 10459","10459",22458
"ZCTA5 10465","10465",66216
"ZCTA5 10452","10452",27040
"ZCTA5 10453","10453",26574
"ZCTA5 10451","10451",25044
"ZCTA5 10458","10458",25027
"ZCTA5 10467","10467",35404
"ZCTA5 10460","10460",24307
"ZCTA5 11217","11217",74518
"ZCTA5 11213","11213",34046
"ZCTA5 11208","11208",35437
"ZCTA5 11206","11206",28114
"ZCTA5 11232","11232",38353
"ZCTA5 11209","11209",57082
"ZCTA5 11229","11229",48683
"ZCTA5 11219","11219",34804
"ZCTA5 11233","11233",34633
"ZCTA5 11218","11218",50938
"ZCTA5 11201","11201",91764
"ZCTA5 11221","11221",36577
"ZCTA5 11235","11235",42492
"ZCTA5 11210","11210",52895
"ZCTA5 11220","11220",37822
"ZCTA5 11211","11211",42610
"ZCTA5 11215","11215",88450
"ZCTA5 11239","11239",23941
"ZCTA5 11237","11237",37648
"ZCTA5 11228","11228",59624
"ZCTA5 11226","11226",39481
"ZCTA5 11234","11234",67776
"ZCTA5 11230","11230",43147
"ZCTA5 11216","11216",40174
"ZCTA5 11238","11238",61950
"ZCTA5 11223","11223",40626
"ZCTA5 11236","11236",61794
"ZCTA5 11425","11425",NA
"ZCTA5 11231","11231",71895
"ZCTA5 11204","11204",44312
"ZCTA5 11212","11212",27278
"ZCTA5 11222","11222",60610
"ZCTA5 11207","11207",33127
"ZCTA5 11214","11214",39822
"ZCTA5 11224","11224",31822
"ZCTA5 11225","11225",40295
"ZCTA5 11203","11203",48797
"ZCTA5 11205","11205",42760
"ZCTA5 10028","10028",107885
"ZCTA5 10029","10029",31851
"ZCTA5 10112","10112",NA
"ZCTA5 10115","10115",NA
"ZCTA5 10032","10032",35079
"ZCTA5 10033","10033",40625
"ZCTA5 10170","10170",NA
"ZCTA5 10031","10031",36188
"ZCTA5 10111","10111",NA
"ZCTA5 10024","10024",111582
"ZCTA5 10035","10035",26365
"ZCTA5 10027","10027",35157
"ZCTA5 10039","10039",34096
"ZCTA5 10037","10037",40681
"ZCTA5 10040","10040",37244
"ZCTA5 10168","10168",NA
"ZCTA5 10036","10036",62997
"ZCTA5 10030","10030",29063
"ZCTA5 10171","10171",NA
"ZCTA5 10167","10167",NA
"ZCTA5 10162","10162",181417
"ZCTA5 10025","10025",64592
"ZCTA5 10279","10279",NA
"ZCTA5 10172","10172",NA
"ZCTA5 10069","10069",165417
"ZCTA5 10023","10023",105260
"ZCTA5 10044","10044",76250
"ZCTA5 10065","10065",111334
"ZCTA5 10165","10165",NA
"ZCTA5 10154","10154",NA
"ZCTA5 10153","10153",NA
"ZCTA5 10075","10075",99438
"ZCTA5 10169","10169",NA
"ZCTA5 10021","10021",109343
"ZCTA5 10034","10034",42919
"ZCTA5 10282","10282",232031
"ZCTA5 10278","10278",NA
"ZCTA5 10103","10103",NA
"ZCTA5 10271","10271",NA
"ZCTA5 10038","10038",65473
"ZCTA5 10110","10110",NA
"ZCTA5 10119","10119",NA
"ZCTA5 10026","10026",39574
"ZCTA5 10280","10280",135199
"ZCTA5 10022","10022",109625
"ZCTA5 10018","10018",84850
"ZCTA5 10177","10177",NA
"ZCTA5 10174","10174",NA
"ZCTA5 10463","10463",52505
"ZCTA5 10014","10014",102747
"ZCTA5 10173","10173",NA
"ZCTA5 10128","10128",97132
"ZCTA5 10019","10019",79508
"ZCTA5 10199","10199",NA
"ZCTA5 10152","10152",NA
"ZCTA5 10016","10016",102796
"ZCTA5 10001","10001",67795
"ZCTA5 10020","10020",NA
"ZCTA5 10006","10006",111617
"ZCTA5 10002","10002",32407
"ZCTA5 10012","10012",77072
"ZCTA5 10007","10007",191900
"ZCTA5 10005","10005",117885
"ZCTA5 10003","10003",88601
"ZCTA5 10010","10010",94242
"ZCTA5 10009","10009",55316
"ZCTA5 10004","10004",127448
"ZCTA5 10011","10011",99700
"ZCTA5 10017","10017",105974
"ZCTA5 10013","10013",64806
"ZCTA5 11102","11102",47249
"ZCTA5 11103","11103",52968
"ZCTA5 11357","11357",75922
"ZCTA5 11104","11104",54152
"ZCTA5 11356","11356",60981
"ZCTA5 11109","11109",132875
"ZCTA5 11101","11101",41799
"ZCTA5 11693","11693",50443
"ZCTA5 11106","11106",47580
"ZCTA5 11105","11105",56935
"ZCTA5 11372","11372",48400
"ZCTA5 11354","11354",48771
"ZCTA5 11370","11370",57334
"ZCTA5 11430","11430",NA
"ZCTA5 11373","11373",45585
"ZCTA5 11351","11351",NA
"ZCTA5 11355","11355",44587
