"NAME","zipcodetabulationarea","B01003_001"
"ZCTA5 10303","10303",26274
"ZCTA5 10302","10302",17128
"ZCTA5 10312","10312",60318
"ZCTA5 10301","10301",39367
"ZCTA5 10306","10306",55710
"ZCTA5 10309","10309",30706
"ZCTA5 10310","10310",24473
"ZCTA5 10314","10314",87662
"ZCTA5 10308","10308",29014
"ZCTA5 10307","10307",14363
"ZCTA5 10311","10311",0
"ZCTA5 10304","10304",40934
"ZCTA5 10305","10305",40085
"ZCTA5 10454","10454",38523
"ZCTA5 11370","11370",38370
"ZCTA5 10463","10463",68345
"ZCTA5 10464","10464",4255
"ZCTA5 10457","10457",69144
"ZCTA5 10469","10469",71245
"ZCTA5 10472","10472",66041
"ZCTA5 10473","10473",57444
"ZCTA5 10461","10461",51767
"ZCTA5 10471","10471",22222
"ZCTA5 10462","10462",75407
"ZCTA5 10468","10468",73738
"ZCTA5 10474","10474",12466
"ZCTA5 10475","10475",41377
"ZCTA5 10455","10455",37699
"ZCTA5 10456","10456",86121
"ZCTA5 10466","10466",72997
"ZCTA5 10470","10470",14952
"ZCTA5 10459","10459",45261
"ZCTA5 10465","10465",42688
"ZCTA5 10452","10452",75150
"ZCTA5 10453","10453",79376
"ZCTA5 10451","10451",43550
"ZCTA5 10458","10458",73436
"ZCTA5 10467","10467",93833
"ZCTA5 10460","10460",55462
"ZCTA5 11217","11217",38992
"ZCTA5 11213","11213",62231
"ZCTA5 11208","11208",93447
"ZCTA5 11206","11206",79674
"ZCTA5 11232","11232",27925
"ZCTA5 11209","11209",71704
"ZCTA5 11229","11229",77021
"ZCTA5 11219","11219",94083
"ZCTA5 11233","11233",66315
"ZCTA5 11218","11218",76811
"ZCTA5 11201","11201",51356
"ZCTA5 11221","11221",77041
"ZCTA5 11235","11235",71129
"ZCTA5 11210","11210",64508
"ZCTA5 11220","11220",99540
"ZCTA5 11211","11211",90522
"ZCTA5 11215","11215",65477
"ZCTA5 11239","11239",12802
"ZCTA5 11237","11237",52123
"ZCTA5 11228","11228",42585
"ZCTA5 11226","11226",99422
"ZCTA5 11234","11234",94891
"ZCTA5 11230","11230",85757
"ZCTA5 11216","11216",53065
"ZCTA5 11238","11238",50840
"ZCTA5 11223","11223",73208
"ZCTA5 11236","11236",94643
"ZCTA5 11425","11425",0
"ZCTA5 11231","11231",35109
"ZCTA5 11204","11204",78690
"ZCTA5 11212","11212",80311
"ZCTA5 11222","11222",33482
"ZCTA5 11207","11207",89676
"ZCTA5 11214","11214",78326
"ZCTA5 11224","11224",45092
"ZCTA5 11225","11225",58987
"ZCTA5 11203","11203",80337
"ZCTA5 11205","11205",38997
"ZCTA5 10028","10028",45345
"ZCTA5 10029","10029",78451
"ZCTA5 10112","10112",0
"ZCTA5 10115","10115",0
"ZCTA5 10032","10032",62798
"ZCTA5 10033","10033",58027
"ZCTA5 10170","10170",0
"ZCTA5 10031","10031",58736
"ZCTA5 10111","10111",0
"ZCTA5 10024","10024",60239
"ZCTA5 10035","10035",35290
"ZCTA5 10027","10027",58834
"ZCTA5 10039","10039",25257
"ZCTA5 10037","10037",17489
"ZCTA5 10040","10040",43753
"ZCTA5 10168","10168",0
"ZCTA5 10036","10036",22371
"ZCTA5 10030","10030",29186
"ZCTA5 10171","10171",0
"ZCTA5 10167","10167",0
"ZCTA5 10162","10162",1608
"ZCTA5 10025","10025",95330
"ZCTA5 10279","10279",0
"ZCTA5 10172","10172",0
"ZCTA5 10069","10069",5214
"ZCTA5 10023","10023",60035
"ZCTA5 10044","10044",11399
"ZCTA5 10065","10065",32193
"ZCTA5 10165","10165",0
"ZCTA5 10154","10154",0
"ZCTA5 10153","10153",0
"ZCTA5 10075","10075",26082
"ZCTA5 10169","10169",0
"ZCTA5 10021","10021",41546
"ZCTA5 10034","10034",40925
"ZCTA5 10282","10282",5027
"ZCTA5 10278","10278",0
"ZCTA5 10103","10103",0
"ZCTA5 10271","10271",0
"ZCTA5 10038","10038",19530
"ZCTA5 10110","10110",4
"ZCTA5 10119","10119",0
"ZCTA5 10026","10026",36026
"ZCTA5 10280","10280",7741
"ZCTA5 10022","10022",28847
"ZCTA5 10018","10018",5290
"ZCTA5 10177","10177",0
"ZCTA5 10174","10174",0
"ZCTA5 10463","10463",68345
"ZCTA5 10014","10014",31685
"ZCTA5 10173","10173",0
"ZCTA5 10128","10128",58793
"ZCTA5 10019","10019",40778
"ZCTA5 10199","10199",0
"ZCTA5 10152","10152",0
"ZCTA5 10016","10016",53754
"ZCTA5 10001","10001",21097
"ZCTA5 10020","10020",0
"ZCTA5 10006","10006",2722
"ZCTA5 10002","10002",81335
"ZCTA5 10012","10012",24342
"ZCTA5 10007","10007",5892
"ZCTA5 10005","10005",4935
"ZCTA5 10003","10003",55190
"ZCTA5 10010","10010",28954
"ZCTA5 10009","10009",62335
"ZCTA5 10004","10004",2604
"ZCTA5 10011","10011",51064
"ZCTA5 10017","10017",15603
"ZCTA5 10013","10013",25942
"ZCTA5 11102","11102",33432
"ZCTA5 11103","11103",36508
"ZCTA5 11357","11357",40516
"ZCTA5 11104","11104",26230
"ZCTA5 11356","11356",21721
"ZCTA5 11109","11109",2916
"ZCTA5 11101","11101",23798
"ZCTA5 11693","11693",11407
"ZCTA5 11106","11106",36305
"ZCTA5 11105","11105",38103
"ZCTA5 11372","11372",63520
"ZCTA5 11354","11354",53050
"ZCTA5 11370","11370",38370
"ZCTA5 11430","11430",53
"ZCTA5 11373","11373",96474
"ZCTA5 11351","11351",0
"ZCTA5 11355","11355",82505
"ZCTA5 11369","11369",39677
"ZCTA5 11040","11040",40296
"ZCTA5 11432","11432",56900
"ZCTA5 11368","11368",103401
"ZCTA5 11003","11003",43910
"ZCTA5 11414","11414",28480
"ZCTA5 11379","11379",34529
"ZCTA5 11423","11423",30890
"ZCTA5 11419","11419",48138
"ZCTA5 11363","11363",7052
"ZCTA5 11371","11371",0
"ZCTA5 11005","11005",1797
"ZCTA5 11416","11416",23852
"ZCTA5 11418","11418",36005
"ZCTA5 11428","11428",19764
"ZCTA5 11429","11429",29167
"ZCTA5 11362","11362",17492
"ZCTA5 11365","11365",41283
"ZCTA5 11374","11374",42888
"ZCTA5 11378","11378",33672
"ZCTA5 11004","11004",14050
"ZCTA5 11417","11417",29928
"ZCTA5 11424","11424",0
"ZCTA5 11358","11358",38668
"ZCTA5 11367","11367",38835
"ZCTA5 11692","11692",17070
"ZCTA5 11694","11694",20792
"ZCTA5 11411","11411",20426
"ZCTA5 11385","11385",99295
"ZCTA5 11413","11413",39922
"ZCTA5 11426","11426",19165
"ZCTA5 11361","11361",28926
"ZCTA5 11697","11697",4381
"ZCTA5 11412","11412",36932
"ZCTA5 11415","11415",18677
"ZCTA5 11427","11427",24385
"ZCTA5 11364","11364",35372
"ZCTA5 11375","11375",69266
"ZCTA5 11377","11377",87143
"ZCTA5 11360","11360",20953
"ZCTA5 11691","11691",59376
"ZCTA5 11451","11451",0
"ZCTA5 11421","11421",40975
"ZCTA5 11366","11366",14160
"ZCTA5 11001","11001",26905
"ZCTA5 11422","11422",31739
"ZCTA5 11420","11420",47243
"ZCTA5 11434","11434",61183
"ZCTA5 11436","11436",16956
"ZCTA5 11433","11433",30076
"ZCTA5 11359","11359",0
"ZCTA5 11435","11435",52358
